"","Estimate","Std. Error","t value","Pr(>|t|)"
"age23:sexMale",-2.60818120351586,3.29706740332091,-0.791060929142309,0.429084731769093
"age24:sexMale",2.39181879648426,3.29706740332092,0.725438246750776,0.468342735369293
"age25:sexMale",-0.57134646962234,2.31168946527867,-0.247155371949348,0.804835662529316
"age26:sexMale",2.72515212981766,4.8823747738667,0.558161193279191,0.576851743271071
"age27:sexMale",1.88103448275867,4.88549832217245,0.385024077118551,0.700296527739248
"age28:sexMale",2.72515212981748,2.73847615832687,0.995134509946753,0.319897102239323
"age29:sexMale",0.558485463150853,3.66933774080978,0.152203340929745,0.8790554143353
"age30:sexMale",-3.02484787018255,3.48817236659632,-0.867172706013415,0.386042908714998
"age31:sexMale",-5.27484787018255,3.37480824060557,-1.56300669374804,0.118348379296151
"age32:sexMale",3.72515212981742,2.87702406454162,1.29479352492345,0.195672366350881
"age33:sexMale",1.05848546315107,4.60914280950375,0.229649092444813,0.818408594551848
"age34:sexMale",7.02515212981749,2.49049366043759,2.8207869955321,0.00487964270594991
"age35:sexMale",6.72515212981739,4.60914280950374,1.45908955477591,0.1448356052165
"age36:sexMale",-3.02484787018249,3.48817236659631,-0.8671727060134,0.386042908715006
"age37:sexMale",5.22515212981735,3.48817236659632,1.49796270959968,0.134439537887656
"age38:sexMale",-4.47484787018252,4.37829745941597,-1.0220520445816,0.306988587335157
"age39:sexMale",-2.67484787018252,4.37829745941598,-0.610933335383595,0.541374199735397
"age40:sexMale",-10.2748478701825,4.37829745941596,-2.34676788533073,0.0191196829599976
"age41:sexMale",7.97515212981751,4.46626291672973,1.78564322757269,0.0744417800253073
"age42:sexMale",-7.6081812035157,3.29706740332093,-2.30756010503529,0.0212148078788679
"age43:sexMale",6.55848546315075,3.66933774080978,1.7873757954217,0.074161324037039
"age44:sexMale",3.32515212981744,2.96579578979565,1.12116691960324,0.262469792752244
"age45:sexMale",2.72515212981737,3.48817236659637,0.781255007898728,0.434826319392573
"age46:sexMale",-4.27484787018252,3.48817236659632,-1.22552655686388,0.220648088889774
"age47:sexMale",2.54770114942529,3.67349287185791,0.693536434749297,0.48812433825508
"age48:sexMale",-3.52484787018253,4.46626291672974,-0.789216384234601,0.430161371593751
"age49:sexMale",-2.77484787018259,4.00717175202419,-0.692470411027652,0.488793058758252
"age50:sexMale",-0.618965517241345,4.88549832217243,-0.126694448841016,0.899206176882421
"age51:sexMale",-1.27484787018244,4.88237477386668,-0.261112251563761,0.79405647417615
"age52:sexMale",-3.61896551724151,4.88549832217248,-0.740756679992519,0.459004423716946
"age53:sexMale",-0.358181203515857,3.0941817116964,-0.115759589090029,0.907864921509244
"age54:sexMale",1.22515212981752,4.00717175202419,0.305739859839708,0.759862528121424
"age55:sexMale",0.475152129817579,4.46626291672974,0.106386959002739,0.915295393769428
"age56:sexMale",-2.66658456486049,2.81732038965577,-0.946496740183075,0.344110182000835
