"","Estimate","Std. Error","t value","Pr(>|t|)"
"age 3:siteUrban",-3.21676245210722,2.98220972039607,-1.07865064958611,0.280987959438283
"age 4:siteUrban",-5.25428048962513,3.35347918717322,-1.56681470089999,0.117455348934067
"age 5:siteUrban",1.45545977011576,5.55281389852073,0.262112110492934,0.793285745563815
"age 6:siteUrban",-1.04454022988502,3.88314753363021,-0.268993186799812,0.787987075507576
"age 7:siteUrban",-1.09454022988502,4.0161127884456,-0.27253722381354,0.785261854331666
"age 8:siteUrban",-6.61676245210713,3.80727194696844,-1.73792745679114,0.0825129123022512
"age 9:siteUrban",-0.49454022988485,3.92796942729925,-0.125902260452389,0.899833078622481
"age10:siteUrban",-6.10168308702786,4.23435033717514,-1.44099628069473,0.149879946524546
"age11:siteUrban",1.83879310344837,4.3508659322473,0.422626928083394,0.672652869636364
"age12:siteUrban",-4.39454022988513,3.97857618436289,-1.10455098161928,0.269603918690243
"age13:siteUrban",-1.22787356321828,4.10236273837829,-0.299308871868234,0.764762839555946
"age14:siteUrban",-6.16120689655162,3.14834462570368,-1.95696711416227,0.0506125414092671
"age15:siteUrban",-7.11358784893262,3.79850394752232,-1.87273409405633,0.0613791668912003
"age16:siteUrban",-2.78025451559938,3.66446730874864,-0.758706322461038,0.448196284374929
"age17:siteUrban",-8.89454022988498,4.50893230996288,-1.97264887082729,0.0487941575708257
"age18:siteUrban",-2.09870689655157,3.69843190453757,-0.567458574531734,0.570522369768124
"age19:siteUrban",8.1364121510675,3.79850394752236,2.14200439527636,0.0324196300486126
"age20:siteUrban",-2.19454022988499,5.55281389852072,-0.395212277953277,0.692765450293432
"age21:siteUrban",2.6721264367817,5.09236835250312,0.524731569244836,0.599879115175413
"age22:siteUrban",0.605459770115035,4.26963889019572,0.141805849554476,0.887260208324568
"age23:siteUrban",-7.99454022988507,8.02771520185496,-0.995867445327131,0.319540976005661
"age24:siteUrban",9.33879310344842,7.5790520703389,1.23218484538408,0.218152261970583
"age25:siteUrban",-6.57787356321824,4.3508659322473,-1.51185388510021,0.130867974407155
"age26:siteUrban",-13.9945402298848,8.02771520185499,-1.7432781156276,0.0815738958547532
